location,size,total_sqft,bath,price,bhk,price_per_sqft
Uttarahalli,2 BHK,1143.0,2.0,90.0,2,7874.0157480314965
Murugeshpalya,2 BHK,1296.0,2.0,162.0,2,12500.0
Sarjapur  Road,3 BHK,1254.0,3.0,76.0,3,6060.606060606061
Ganga Nagar,1 BHK,600.0,1.0,76.0,1,12666.666666666666
Yelahanka,1 Bedroom,660.0,1.0,96.0,1,14545.454545454546
Kanakpura Road,2 BHK,1330.74,2.0,183.58,2,13795.331920585539
HSR Layout,8 Bedroom,600.0,9.0,400.0,8,66666.66666666667
Doddathoguru,2 BHK,970.0,2.0,66.0,2,6804.123711340206
Whitefield,2 BHK,1459.0,2.0,189.64,2,12997.943797121316
KR Puram,2 Bedroom,800.0,1.0,260.0,2,32500.0
Himagiri Meadows,2 BHK,869.0,2.0,72.0,2,8285.385500575374
Adarsh Nagar,2 BHK,1270.0,2.0,100.0,2,7874.0157480314965
Bhoganhalli,3 BHK,1670.0,3.0,198.0,3,11856.287425149701
Whitefield,3 BHK,2010.0,3.0,182.0,3,9054.726368159205
Lakshminarayana Pura,2 BHK,1185.0,2.0,150.0,2,12658.227848101265
Yelahanka,3 BHK,1600.0,2.0,150.0,3,9375.0
Begur Road,2 BHK,1200.0,2.0,88.0,2,7333.333333333333
Ramakrishnappa Layout,2 BHK,1500.0,2.0,370.0,2,24666.666666666668
Murugeshpalya,6 Bedroom,1407.0,4.0,300.0,6,21321.961620469083
Govindaraja Nagar Ward,2 BHK,840.0,2.0,90.0,2,10714.285714285714
Tharabanahalli,3 Bedroom,4395.0,3.0,480.0,3,10921.501706484642
Ganga Nagar,2 BHK,845.0,2.0,110.0,2,13017.75147928994
Whitefield,4 Bedroom,5700.0,5.0,1300.0,4,22807.01754385965
Varthur,2 BHK,1160.0,2.0,88.0,2,7586.206896551724
Bommanahalli,8 Bedroom,3000.0,8.0,280.0,8,9333.333333333334
Doddathoguru,2 BHK,1100.0,2.0,124.0,2,11272.727272727272
Gunjur,2 BHK,1140.0,2.0,86.0,2,7543.859649122807
Marathahalli,2 BHK,1220.0,2.0,114.0,2,9344.262295081968
Devarachikkanahalli,8 Bedroom,1350.0,7.0,170.0,8,12592.592592592593
Kanakpura Road,2 BHK,1005.0,2.0,73.36,2,7299.502487562189
Double Road,3 Bedroom,500.0,3.0,200.0,3,40000.0
Begur Road,2 BHK,1358.0,2.0,161.16,2,11867.452135493373
Hegde Nagar,3 BHK,1569.0,3.0,202.0,3,12874.442319949012
Haralur Road,2 BHK,1240.0,2.0,140.0,2,11290.322580645161
Hennur Road,3 BHK,2089.0,3.0,280.0,3,13403.54236476783
Kothannur,2 BHK,1206.0,2.0,96.46,2,7998.341625207297
Kalena Agrahara,2 BHK,1150.0,2.0,80.0,2,6956.521739130435
Cholanayakanahalli,3 BHK,2511.0,3.0,410.0,3,16328.15611310235
Kaval Byrasandra,2 BHK,460.0,1.0,44.0,2,9565.217391304348
ISRO Layout,6 Bedroom,4400.0,6.0,500.0,6,11363.636363636364
Kodanda Reddy Layout,3 BHK,1660.0,2.0,210.0,3,12650.602409638554
Yelahanka,2 BHK,1326.0,2.0,156.0,2,11764.70588235294
Garudachar Palya,3 BHK,1325.0,2.0,121.6,3,9177.358490566037
EPIP Zone,3 BHK,1499.0,5.0,204.0,3,13609.07271514343
Hegde Nagar,6 Bedroom,3000.0,7.0,420.0,6,14000.0
Kanakpura Road,3 BHK,1665.0,3.0,176.0,3,10570.570570570571
Dasanapura,2 BHK,708.0,2.0,74.0,2,10451.977401129943
Kasavanhalli,2 BHK,1060.0,2.0,116.12,2,10954.716981132075
Rajaji Nagar,6 Bedroom,710.0,6.0,320.0,6,45070.42253521127
Sanjay nagar,2 BHK,1000.0,2.0,140.0,2,14000.0
Electronic City,2 BHK,1000.0,2.0,57.76,2,5776.0
 Mysore Highway,3 BHK,1450.0,2.0,140.0,3,9655.172413793103
ISRO Layout,4 Bedroom,1200.0,4.0,310.0,4,25833.333333333332
Thanisandra,2 BHK,1296.0,2.0,160.0,2,12345.67901234568
Domlur,3 BHK,1540.0,3.0,180.0,3,11688.311688311689
Kengeri,4 Bedroom,2894.0,4.0,490.0,4,16931.582584657914
Sarjapura - Attibele Road,3 BHK,1330.0,2.0,96.0,3,7218.045112781955
Devasthanagalu,2 BHK,1200.0,2.0,130.0,2,10833.333333333334
T Dasarahalli,3 Bedroom,1200.0,3.0,180.0,3,15000.0
Yeshwanthpur,3 BHK,2502.0,3.0,276.0,3,11031.175059952038
Chandapura,2 BHK,650.0,1.0,34.0,2,5230.7692307692305
Kothanur,3 Bedroom,2400.0,2.0,300.0,3,12500.0
Green View Layout,2 BHK,1007.0,2.0,86.0,2,8540.218470705064
Shantiniketan Layout,2 BHK,1200.0,2.0,100.0,2,8333.333333333334
Peenya,2 BHK,966.0,2.0,99.8,2,10331.262939958591
Nagarbhavi,3 BHK,1630.0,2.0,196.0,3,12024.539877300613
Rajaji Nagar,3 BHK,1640.0,3.0,458.0,3,27926.829268292684
Jalahalli West,2 BHK,782.0,2.0,111.36,2,14240.409207161125
Devanahalli,2 BHK,1260.0,2.0,133.56,2,10600.0
Lakshmiamma Garden,3 BHK,1800.0,3.0,240.0,3,13333.333333333334
Byatarayanapura,3 BHK,1413.0,2.0,150.0,3,10615.711252653928
Whitefield,2 BHK,1116.0,2.0,103.82,2,9302.867383512545
Electronic City,3 BHK,1530.0,2.0,91.8,3,6000.0
Ramamurthy Nagar,4 Bedroom,3700.0,4.0,450.0,4,12162.162162162162
Sarjapur  Road,3 Bedroom,2497.0,3.0,280.0,3,11213.456147376852
Kengeri,3 BHK,1540.0,2.0,128.0,3,8311.688311688311
Thanisandra,3 BHK,1436.0,3.0,149.5,3,10410.863509749304
Malleshwaram,2 BHK,1100.0,2.0,150.0,2,13636.363636363636
Hennur Road,2 Bedroom,276.0,3.0,46.0,2,16666.666666666668
Thanisandra,3 BHK,1427.0,3.0,240.0,3,16818.500350385424
Akshaya Nagar,3 BHK,2061.0,3.0,400.0,3,19408.05434255216
Hebbal,4 BHK,5611.5,4.0,954.0,4,17000.801924619085
Shampura,4 BHK,2650.0,4.0,300.0,4,11320.754716981131
Devanahalli,3 BHK,1282.0,2.0,137.04,3,10689.547581903276
Kadugodi,2 BHK,1050.0,2.0,68.0,2,6476.190476190476
LB Shastri Nagar,3 BHK,1600.0,3.0,130.0,3,8125.0
Vajarahalli,2 BHK,945.0,2.0,108.0,2,11428.57142857143
Hormavu,2 BHK,1500.0,2.0,156.0,2,10400.0
Vishwapriya Layout,7 Bedroom,950.0,7.0,230.0,7,24210.526315789473
Peenya,3 BHK,1870.0,3.0,220.0,3,11764.70588235294
Sarjapur,3 Bedroom,1600.0,3.0,150.0,3,9375.0
Electronic City,2 BHK,880.0,1.0,33.0,2,3750.0
Ramaswamy Palya - Kammanahalli Main Road,4 Bedroom,1200.0,4.0,420.0,4,35000.0
Kudlu Gate,3 BHK,1535.0,3.0,166.0,3,10814.332247557004
Kanakpura Road,2 BHK,950.0,2.0,114.0,2,12000.0
Devanahalli,2 BHK,1360.0,2.0,130.0,2,9558.823529411764
8th Phase JP Nagar,2 BHK,1073.5,2.0,108.01,2,10061.481136469492
Bommasandra Industrial Area,3 BHK,1280.0,3.0,100.8,3,7875.0
Chandra Layout,3 BHK,1260.0,2.0,170.1,3,13500.0
Hennur Road,8 Bedroom,5000.0,8.0,500.0,8,10000.0
Yelahanka,5 BHK,3050.0,5.0,426.0,5,13967.213114754099
Kasavanhalli,3 BHK,1563.05,3.0,210.0,3,13435.270784683791
ISRO Layout,2 BHK,1000.0,2.0,120.0,2,12000.0
Anandapura,2 BHK,1167.0,2.0,87.52,2,7499.571550985433
Vishveshwarya Layout,7 BHK,4000.0,7.0,450.0,7,11250.0
Kothanur,3 BHK,1828.0,3.0,220.0,3,12035.010940919037
Kengeri Satellite Town,2 BHK,890.0,2.0,70.0,2,7865.168539325843
Basavanapura,3 BHK,1612.0,3.0,93.48,3,5799.007444168735
Dinnur,6 Bedroom,1034.0,5.0,370.0,6,35783.36557059961
Mysore Road,3 BHK,1710.0,4.0,182.62,3,10679.53216374269
Kannamangala,2 BHK,957.0,2.0,116.0,2,12121.212121212122
 Devarachikkanahalli,3 BHK,1250.0,2.0,88.0,3,7040.0
Sanjeevini Nagar,3 BHK,2795.0,4.0,470.0,3,16815.742397137747
Hulimavu,2 BHK,1125.0,2.0,100.0,2,8888.888888888889
Electronic City Phase II,2 BHK,1020.0,2.0,61.2,2,6000.0
Kalena Agrahara,2 BHK,1200.0,2.0,100.0,2,8333.333333333334
Thanisandra,3 BHK,1735.0,3.0,270.0,3,15561.959654178674
Thanisandra,3 BHK,2050.0,3.0,290.0,3,14146.341463414634
Mahalakshmi Layout,4 Bedroom,3750.0,4.0,1520.0,4,40533.333333333336
Yarandahalli,3 BHK,1350.0,2.0,96.0,3,7111.111111111111
Hosa Road,2 BHK,1063.0,2.0,64.0,2,6020.696142991534
Keshava Nagar,3 BHK,1904.0,3.0,300.0,3,15756.302521008403
Whitefield,4 Bedroom,4200.0,4.0,840.0,4,20000.0
RMV Extension,3 BHK,2000.0,3.0,350.0,3,17500.0
Sarjapur,2 BHK,1242.5,2.0,86.98,2,7000.402414486922
Tejaswini Nagar,3 BHK,1425.0,2.0,150.0,3,10526.315789473685
Electronic City,3 BHK,1500.0,2.0,129.0,3,8600.0
Electronic City,2 BHK,1060.0,2.0,120.0,2,11320.754716981131
Jai Bheema Nagar,3 BHK,1470.0,2.0,140.0,3,9523.809523809523
Kothnur Narayanapura,6 BHK,1300.0,6.0,198.0,6,15230.76923076923
Attibele,1 BHK,450.0,1.0,22.0,1,4888.888888888889
Electronic City,2 BHK,1152.0,2.0,129.0,2,11197.916666666666
Electronic City,3 BHK,1350.0,2.0,112.0,3,8296.296296296296
CV Raman Nagar,3 BHK,1550.0,3.0,130.0,3,8387.09677419355
CHIKKATIRUPATHI,3 Bedroom,1500.0,3.0,200.0,3,13333.333333333334
Kumaraswami Layout,5 Bedroom,600.0,3.0,170.0,5,28333.333333333332
Nagavara,1 Bedroom,400.0,1.0,28.0,1,7000.0
Malleshwaram,1 BHK,705.0,1.0,134.0,1,19007.09219858156
Electronic City,2 BHK,770.0,1.0,72.0,2,9350.64935064935
Hulimavu,2 BHK,1242.0,2.0,102.0,2,8212.56038647343
Hebbal Kempapura,3 BHK,1700.0,3.0,310.0,3,18235.29411764706
Thanisandra,3 BHK,2144.0,3.0,290.0,3,13526.119402985074
Vijayanagar,3 BHK,1704.0,3.0,220.0,3,12910.798122065728
Electronic City,2 BHK,1070.0,2.0,104.0,2,9719.626168224298
8th block Koramangala,3 Bedroom,1846.0,3.0,600.0,3,32502.708559046587
Jakkuru Layout,2 BHK,1340.0,2.0,111.4,2,8313.432835820895
Electronic City,2 BHK,1025.0,2.0,92.0,2,8975.609756097561
KR Puram,2 BHK,1277.5,2.0,113.6,2,8892.367906066536
Marathahalli,2 BHK,1200.0,2.0,104.0,2,8666.666666666666
Kanakpura Road,4 Bedroom,2250.0,4.0,220.0,4,9777.777777777777
Pattandur Agrahara,3 BHK,1550.0,2.0,160.0,3,10322.58064516129
Bellandur,4 Bedroom,1200.0,5.0,650.0,4,54166.666666666664
Ejipura,7 Bedroom,1800.0,7.0,500.0,7,27777.777777777777
Marathahalli,2 BHK,1200.0,2.0,120.0,2,10000.0
Yelahanka,2 BHK,1327.0,2.0,196.0,2,14770.158251695553
Kothanur,2 BHK,1186.0,2.0,116.0,2,9780.775716694772
MS Pallya,3 Bedroom,1783.0,3.0,230.0,3,12899.607403252945
HSR Layout,3 BHK,1400.0,3.0,112.0,3,8000.0
Nagasandra,2 BHK,980.0,2.0,96.0,2,9795.918367346938
EPIP Zone,2 BHK,1285.0,2.0,164.0,2,12762.645914396888
Langford Town,3 BHK,912.0,2.0,140.0,3,15350.877192982456
Whitefield,2 BHK,1225.0,2.0,95.2,2,7771.428571428572
Whitefield,2 BHK,1075.0,2.0,106.0,2,9860.46511627907
Kadugodi,3 BHK,1260.0,2.0,108.0,3,8571.42857142857
Yelahanka,3 BHK,1282.0,2.0,97.4,3,7597.503900156006
Kogilu,3 BHK,1909.0,3.0,176.0,3,9219.486642221058
Panathur,2 BHK,1359.0,2.0,174.0,2,12803.532008830021
Nagondanahalli,2 BHK,1207.0,2.0,87.0,2,7207.953603976802
Padmanabhanagar,4 Bedroom,1736.0,6.0,380.0,4,21889.400921658987
1st Block Jayanagar,4 BHK,2850.0,4.0,856.0,4,30035.087719298244
Kammasandra,3 BHK,1595.0,3.0,130.0,3,8150.470219435737
"Off Sarjapur Road, ",3 BHK,1798.0,3.0,178.0,3,9899.888765294772
Electronics City Phase 1,3 BHK,1475.0,3.0,156.58,3,10615.593220338984
Tala Cauvery Layout,3 BHK,1580.0,3.0,200.0,3,12658.227848101265
Dasarahalli,2 BHK,1295.0,2.0,130.0,2,10038.610038610039
Magadi Road,6 Bedroom,3600.0,6.0,282.0,6,7833.333333333333
Electronic City,1 BHK,589.0,1.0,54.0,1,9168.081494057726
Ngef Layout,3 BHK,1415.0,3.0,156.0,3,11024.734982332155
Sarjapur  Road,3 BHK,1787.0,3.0,196.58,3,11000.559597090096
Sarjapur  Road,3 BHK,1787.0,3.0,250.0,3,13989.927252378287
Koramangala,3 BHK,1475.0,2.0,180.0,3,12203.389830508475
"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000.0,4.0,151.0,4,7550.0
Sarjapur  Road,2 BHK,984.0,2.0,88.56,2,9000.0
Muthurayya Swamy Layout,3 BHK,2405.0,4.0,520.0,3,21621.62162162162
7th Phase JP Nagar,2 BHK,1080.0,2.0,144.0,2,13333.333333333334
Shantiniketan Layout,2 Bedroom,1500.0,2.0,230.0,2,15333.333333333334
Hebbal,3 BHK,1900.0,3.0,238.0,3,12526.315789473685
Dommasandra,2 BHK,805.0,2.0,44.28,2,5500.621118012423
Budigere,2 BHK,1153.0,2.0,112.8,2,9783.174327840416
Dodda Nekkundi Extension,2 BHK,1148.0,2.0,120.0,2,10452.961672473868
Mylasandra,2 BHK,1110.0,2.0,110.0,2,9909.90990990991
Electronic City,2 BHK,1100.0,2.0,84.0,2,7636.363636363636
Kalyan nagar,2 BHK,1290.0,2.0,220.0,2,17054.263565891473
Dr Shivarama Karantha Nagar,3 BHK,1500.0,2.0,130.0,3,8666.666666666666
Bank Of Baroda Colony,2 BHK,1080.0,2.0,78.0,2,7222.222222222223
Vijayanagar,3 BHK,1933.0,3.0,258.0,3,13347.128815312984
Ramamurthy Nagar,5 Bedroom,3500.0,5.0,300.0,5,8571.42857142857
Kullappa Colony,2 BHK,1060.0,2.0,120.0,2,11320.754716981131
Chandapura,1 BHK,645.0,1.0,32.9,1,5100.775193798449
Mukkutam Nagar,8 Bedroom,2600.0,8.0,360.0,8,13846.153846153846
Chandapura,1 BHK,645.0,1.0,32.9,1,5100.775193798449
Ashwath Nagar,3 BHK,1644.0,3.0,168.0,3,10218.978102189782
Ncpr Industrial Layout,2 BHK,1285.0,2.0,145.0,2,11284.046692607004
Electronic City,3 Bedroom,1200.0,3.0,180.0,3,15000.0
Electronic City,2 BHK,910.0,2.0,80.0,2,8791.208791208792
Kothanur,3 BHK,1577.0,3.0,140.0,3,8877.615726062144
Meenakunte,3 Bedroom,4050.0,3.0,560.0,3,13827.160493827161
OMBR Layout,3 BHK,2420.0,3.0,370.0,3,15289.256198347108
Chandapura,2 BHK,800.0,1.0,40.0,2,5000.0
Anand Nagar,2 BHK,1060.0,2.0,110.0,2,10377.358490566037
7th Phase JP Nagar,2 BHK,1270.0,2.0,186.0,2,14645.669291338583
Shree Ananth Nagar Layout,2 BHK,900.0,2.0,45.0,2,5000.0
Kundalahalli Colony,2 Bedroom,1280.0,2.0,138.0,2,10781.25
Horamavu Agara,4 Bedroom,1200.0,2.0,190.0,4,15833.333333333334
Sarjapur  Road,2 BHK,1025.0,2.0,72.0,2,7024.390243902439
Electronic City,2 BHK,1108.0,2.0,126.0,2,11371.841155234657
MCECHS  layout,5 Bedroom,1200.0,5.0,340.0,5,28333.333333333332
Coffee Board Layout,3 BHK,3045.0,3.0,340.0,3,11165.845648604269
Ambedkar Nagar,4 Bedroom,2900.0,3.0,600.0,4,20689.655172413793
Vijayanagar,3 BHK,1500.0,3.0,151.0,3,10066.666666666666
Raja Rajeshwari Nagar,2 BHK,1295.0,2.0,87.8,2,6779.92277992278
Budigere,2 BHK,1162.0,2.0,119.8,2,10309.810671256455
Sarjapur  Road,2 BHK,1035.0,2.0,98.4,2,9507.246376811594
Attibele,4 Bedroom,1600.0,4.0,105.6,4,6600.0
KUDLU MAIN ROAD,3 BHK,1464.0,3.0,92.0,3,6284.153005464481
Hennur Road,3 BHK,1866.0,2.0,123.16,3,6600.21436227224
Geleyara Balaga Layout,2 BHK,700.0,1.0,52.0,2,7428.571428571428
Kalena Agrahara,3 BHK,1804.0,3.0,240.0,3,13303.769401330377
Sarjapur,2 BHK,913.0,2.0,64.0,2,7009.857612267251
Talaghattapura,3 BHK,1868.0,3.0,262.0,3,14025.695931477516
Kengeri Satellite Town,2 BHK,883.0,2.0,90.0,2,10192.525481313703
Sundara Nagar,2 Bedroom,900.0,2.0,220.0,2,24444.444444444445
Kogilu,3 BHK,1664.0,2.0,147.9,3,8888.221153846154
Hegde Nagar,3 BHK,2026.0,3.0,264.0,3,13030.602171767028
Balagere,2 BHK,1210.0,2.0,161.8,2,13371.900826446283
Meenakunte,4 Bedroom,4111.0,4.0,500.0,4,12162.49087813184
Kadugodi,3 BHK,1762.0,3.0,182.9,3,10380.249716231556
Jigani,3 BHK,1252.0,3.0,110.0,3,8785.94249201278
Gollarapalya Hosahalli,2 BHK,861.0,2.0,69.0,2,8013.937282229966
7th Phase JP Nagar,3 BHK,1420.0,2.0,200.0,3,14084.507042253521
Srirampura,6 Bedroom,1450.0,6.0,500.0,6,34482.75862068965
Electronics City Phase 1,3 BHK,1490.0,3.0,157.6,3,10577.181208053691
Bisuvanahalli,3 BHK,1075.0,2.0,92.0,3,8558.139534883721
Old Madras Road,3 BHK,1425.0,2.0,188.0,3,13192.982456140351
Kalena Agrahara,2 BHK,1200.0,2.0,80.0,2,6666.666666666667
Kaggadasapura,3 BHK,1280.0,2.0,112.0,3,8750.0
Silver Springs Layout,2 BHK,1084.0,2.0,100.0,2,9225.09225092251
Chandapura,2 BHK,1015.0,2.0,51.76,2,5099.507389162562
Kanakpura Road,2 BHK,1017.0,2.0,102.5,2,10078.66273352999
Haralur Road,2 BHK,1027.0,2.0,88.0,2,8568.646543330087
Electronic City Phase II,2 BHK,1069.0,2.0,90.0,2,8419.083255378859
Hebbal,2 BHK,1349.0,2.0,196.4,2,14558.932542624167
9th Phase JP Nagar,2 BHK,1005.0,2.0,100.0,2,9950.248756218905
Jakkur,2 BHK,1417.0,2.0,150.0,2,10585.74453069866
TC Palaya,3 Bedroom,1475.0,3.0,196.0,3,13288.135593220339
Maruthi Sevanagar,2 BHK,950.0,2.0,94.0,2,9894.736842105263
RMV 2nd Stage,4 BHK,2000.0,4.0,240.0,4,12000.0
Giri Nagar,3 Bedroom,880.0,3.0,280.0,3,31818.18181818182
Sarjapur  Road,4 BHK,1863.0,3.0,208.0,4,11164.787976382178
Singasandra,2 BHK,1010.0,2.0,59.0,2,5841.584158415842
Kalena Agrahara,3 BHK,1425.0,2.0,140.0,3,9824.561403508771
Vijayanagar,3 BHK,1450.0,3.0,200.0,3,13793.103448275862
Kothanur,3 BHK,1847.0,3.0,210.0,3,11369.78884677856
AECS Layout,2 BHK,1100.0,2.0,90.0,2,8181.818181818182
Kanakpura Road,1 BHK,525.0,1.0,52.0,1,9904.761904761905
Mallasandra,3 BHK,1665.0,3.0,190.0,3,11411.41141141141
Begur,4 BHK,1664.0,4.0,130.0,4,7812.5
JP Nagar,3 BHK,1850.0,3.0,300.0,3,16216.216216216217
Panathur,2 BHK,1438.0,2.0,200.0,2,13908.205841446454
Sunder Ram Shetty Nagar,3 BHK,1560.0,3.0,230.0,3,14743.589743589744
Yelahanka,2 BHK,1350.0,2.0,111.1,2,8229.62962962963
Kanakpura Road,3 BHK,1550.0,3.0,134.0,3,8645.161290322581
Malleshpalya,2 BHK,1140.0,2.0,93.0,2,8157.894736842105
Srirampura,5 Bedroom,1200.0,5.0,360.0,5,30000.0
Kodathi,2 BHK,850.0,2.0,54.0,2,6352.941176470588
Whitefield,2 BHK,1280.0,2.0,150.0,2,11718.75
Munnekollal,2 BHK,1170.0,2.0,104.0,2,8888.888888888889
Motappa Layout,2 BHK,1113.0,2.0,102.0,2,9164.420485175202
Hennur Road,2 BHK,1385.0,2.0,166.18,2,11998.5559566787
Electronic City,2 BHK,1128.0,2.0,130.0,2,11524.82269503546
Marathahalli,2 Bedroom,1200.0,2.0,256.0,2,21333.333333333332
Akshaya Vana,4 Bedroom,1200.0,4.0,330.0,4,27500.0
Rajaji Nagar,3 BHK,2390.0,3.0,830.0,3,34728.03347280335
Giri Nagar,4 Bedroom,2400.0,4.0,800.0,4,33333.333333333336
Haralur Road,3 BHK,1464.0,3.0,112.0,3,7650.273224043716
Manayata Tech Park,2 BHK,1200.0,2.0,110.0,2,9166.666666666666
Kaval Byrasandra,2 BHK,1200.0,2.0,104.0,2,8666.666666666666
Kaggalipura,3 BHK,1150.0,2.0,110.0,3,9565.217391304348
Basavanna Nagar,3 BHK,1645.0,3.0,190.0,3,11550.15197568389
Sarjapur  Road,2 BHK,1000.0,2.0,134.0,2,13400.0
Haralur Road,4 Bedroom,2650.0,4.0,396.0,4,14943.396226415094
6th Phase JP Nagar,2 BHK,1192.0,2.0,148.0,2,12416.107382550335
Ulsoor,3 BHK,2135.0,3.0,430.0,3,20140.515222482434
Whitefield,2 BHK,1173.0,2.0,116.0,2,9889.17306052856
Uttarahalli,2 BHK,1020.0,2.0,90.0,2,8823.529411764706
Thigalarapalya,4 BHK,3122.0,6.0,460.0,4,14734.144778987828
Somasundara Palya,3 BHK,1600.0,3.0,128.0,3,8000.0
T.C PALYA,2 Bedroom,1200.0,2.0,158.0,2,13166.666666666666
Muneshwara Nagar,2 BHK,1230.0,2.0,96.0,2,7804.878048780488
 Devarachikkanahalli,2 BHK,1250.0,2.0,80.0,2,6400.0
Kalena Agrahara,2 BHK,1325.0,2.0,152.0,2,11471.698113207547
7th Phase JP Nagar,3 BHK,1850.0,3.0,300.0,3,16216.216216216217
Basaveshwara Nagar,2 BHK,1200.0,2.0,130.0,2,10833.333333333334
Bull Temple Road,3 Bedroom,1350.0,2.0,280.0,3,20740.74074074074
Bommasandra,3 BHK,1260.0,3.0,98.72,3,7834.920634920635
Prashanth Nagar,3 BHK,1800.0,3.0,300.0,3,16666.666666666668
Suragajakkanahalli,3 Bedroom,11.0,3.0,148.0,3,1345454.5454545454
Ardendale,2 BHK,1100.0,2.0,86.5,2,7863.636363636364
Harlur,2 BHK,1508.0,2.0,154.0,2,10212.201591511935
Sampigehalli,3 BHK,1592.0,3.0,150.0,3,9422.11055276382
Akshaya Nagar,2 BHK,1388.0,2.0,114.0,2,8213.256484149855
Electronic City Phase II,1 BHK,630.0,1.0,56.7,1,9000.0
RMV,3 Bedroom,2000.0,3.0,730.0,3,36500.0
Banashankari3rd stage bigbazar,3 BHK,1762.0,3.0,250.0,3,14188.422247446084
Bagalur Main Road,2 BHK,950.0,2.0,100.0,2,10526.315789473685
Kodihalli,4 BHK,3252.0,5.0,670.0,4,20602.70602706027
Magadi Road,2 BHK,1116.0,2.0,100.0,2,8960.57347670251
Narayanapura,2 BHK,1308.0,2.0,178.08,2,13614.678899082568
MS Pallya,3 BHK,1200.0,3.0,180.0,3,15000.0
Binny Mills Employees Colony,4 Bedroom,1500.0,4.0,460.0,4,30666.666666666668
Bannerghatta Road,1 BHK,500.0,1.0,37.0,1,7400.0
Hennur,2 BHK,1075.0,2.0,104.0,2,9674.418604651162
Chandapura,1 BHK,530.0,1.0,23.32,1,4400.0
Bellandur,2 BHK,1205.0,2.0,132.0,2,10954.356846473029
5th Phase JP Nagar,2 BHK,1075.0,2.0,120.0,2,11162.790697674418
KR Puram,2 BHK,930.0,2.0,78.0,2,8387.09677419355
Balagere,2 BHK,1380.0,2.0,120.0,2,8695.652173913044
Hebbal,4 BHK,2483.0,5.0,424.0,4,17076.117599677807
Kodigehaali,2 BHK,1166.0,2.0,110.0,2,9433.962264150943
Bannerghatta Road,2 BHK,1050.0,2.0,130.0,2,12380.952380952382
Gopalapura,3 BHK,2023.71,3.0,550.0,3,27177.807096866647
Begur Road,2 BHK,1200.0,2.0,93.6,2,7800.0
Lakshminarayana Pura,3 BHK,1600.0,2.0,216.0,3,13500.0
Billekahalli,3 BHK,1935.0,3.0,220.0,3,11369.509043927648
8th Phase JP Nagar,1 BHK,451.0,1.0,59.8,1,13259.423503325943
